API,Provider,Service,Version,Description,LogoUrl
AWS Resource Groups,amazonaws.com,resource-groups,2017-11-27,<p>Resource Groups lets you organize Amazon Web Services resources such as Amazon Elastic Compute Cloud instances,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Resource Groups Tagging API,amazonaws.com,resourcegroupstaggingapi,2017-01-26,<fullname>Resource Groups Tagging API</fullname>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS RoboMaker,amazonaws.com,robomaker,2018-06-29,This section provides documentation for the AWS RoboMaker API operations.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Route 53,amazonaws.com,route53,2013-04-01,<p>Amazon Route 53 is a highly available and scalable Domain Name System (DNS) web service.</p> <p>You can use Route 53 to:</p> <ul> <li> <p>Register domain names.</p> <p>For more information,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Route 53 Domains,amazonaws.com,route53domains,2014-05-15,Amazon Route 53 API actions let you register domain names and perform related operations.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Route 53 Resolver,amazonaws.com,route53resolver,2018-04-01,<p>When you create a VPC using Amazon VPC,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Lex Runtime Service,amazonaws.com,runtime.lex,2016-11-28,Amazon Lex provides both build and runtime endpoints. Each endpoint provides a set of operations (API). Your conversational bot uses the runtime API to understand user utterances (user input text or voice). For example,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Lex Runtime V2,amazonaws.com,runtime.lex.v2,2020-08-07,This section contains documentation for the Amazon Lex V2 Runtime V2 API operations.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon SageMaker Runtime,amazonaws.com,runtime.sagemaker,2017-05-13, The Amazon SageMaker runtime API. ,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Storage Service,amazonaws.com,s3,2006-03-01,<p/>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS S3 Control,amazonaws.com,s3control,2018-08-20, Amazon Web Services S3 Control provides access to Amazon S3 control plane actions. ,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon S3 on Outposts,amazonaws.com,s3outposts,2017-07-25,Amazon S3 on Outposts provides access to S3 on Outposts operations.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon SageMaker Service,amazonaws.com,sagemaker,2017-07-24,<p>Provides APIs for creating and managing SageMaker resources. </p> <p>Other Resources:</p> <ul> <li> <p> <a href="https://docs.aws.amazon.com/sagemaker/latest/dg/whatis.html#first-time-user">SageMaker Developer Guide</a> </p> </li> <li> <p> <a href="https://docs.aws.amazon.com/augmented-ai/2019-11-07/APIReference/Welcome.html">Amazon Augmented AI Runtime API Reference</a> </p> </li> </ul>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Augmented AI Runtime,amazonaws.com,sagemaker-a2i-runtime,2019-11-07,<p>Amazon Augmented AI (Amazon A2I) adds the benefit of human judgment to any machine learning application. When an AI application can't evaluate data with a high degree of confidence,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Sagemaker Edge Manager,amazonaws.com,sagemaker-edge,2020-09-23,SageMaker Edge Manager dataplane service for communicating with active agents.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon SageMaker Feature Store Runtime,amazonaws.com,sagemaker-featurestore-runtime,2020-07-01,<p>Contains all data plane API operations and data types for the Amazon SageMaker Feature Store. Use this API to put,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Savings Plans,amazonaws.com,savingsplans,2019-06-28,Savings Plans are a pricing model that offer significant savings on AWS usage (for example,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Schemas,amazonaws.com,schemas,2019-12-02,Amazon EventBridge Schema Registry,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon SimpleDB,amazonaws.com,sdb,2009-04-15,Amazon SimpleDB is a web service providing the core database functions of data indexing and querying in the cloud. By offloading the time and effort associated with building and operating a web-scale database,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Secrets Manager,amazonaws.com,secretsmanager,2017-10-17,<fullname>Amazon Web Services Secrets Manager</fullname> <p>Amazon Web Services Secrets Manager provides a service to enable you to store,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS SecurityHub,amazonaws.com,securityhub,2018-10-26,<p>Security Hub provides you with a comprehensive view of the security state of your Amazon Web Services environment and resources. It also provides you with the readiness status of your environment based on controls from supported security standards. Security Hub collects security data from Amazon Web Services accounts,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWSServerlessApplicationRepository,amazonaws.com,serverlessrepo,2017-09-08,<p>The AWS Serverless Application Repository makes it easy for developers and enterprises to quickly find,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Service Quotas,amazonaws.com,service-quotas,2019-06-24,With Service Quotas,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Service Catalog,amazonaws.com,servicecatalog,2015-12-10,<fullname>Service Catalog</fullname> <p> <a href="http://aws.amazon.com/servicecatalog">Service Catalog</a> enables organizations to create and manage catalogs of IT services that are approved for Amazon Web Services. To get the most out of this documentation,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Service Catalog App Registry,amazonaws.com,servicecatalog-appregistry,2020-06-24, Amazon Web Services Service Catalog AppRegistry enables organizations to understand the application context of their Amazon Web Services resources. AppRegistry provides a repository of your applications,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Cloud Map,amazonaws.com,servicediscovery,2017-03-14,<fullname>Cloud Map</fullname> <p>With Cloud Map,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Email Service,amazonaws.com,sesv2,2019-09-27,<fullname>Amazon SES API v2</fullname> <p> <a href="http://aws.amazon.com/ses">Amazon SES</a> is an Amazon Web Services service that you can use to send email messages to your customers.</p> <p>If you're new to Amazon SES API v2,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Shield,amazonaws.com,shield,2016-06-02,<fullname>Shield Advanced</fullname> <p>This is the <i>Shield Advanced API Reference</i>. This guide is for developers who need detailed information about the Shield Advanced API actions,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Signer,amazonaws.com,signer,2017-08-25,<p>AWS Signer is a fully managed code signing service to help you ensure the trust and integrity of your code. </p> <p>AWS Signer supports the following applications:</p> <p>With <i>code signing for AWS Lambda</i>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Server Migration Service,amazonaws.com,sms,2016-10-24,<important> <p> <b>Product update</b> </p> <p>We recommend <a href="http://aws.amazon.com/application-migration-service">Amazon Web Services Application Migration Service</a> (Amazon Web Services MGN) as the primary migration service for lift-and-shift migrations. If Amazon Web Services MGN is unavailable in a specific Amazon Web Services Region,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Pinpoint SMS and Voice Service,amazonaws.com,sms-voice,2018-09-05,Pinpoint SMS and Voice Messaging public facing APIs,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Import/Export Snowball,amazonaws.com,snowball,2016-06-30,The Amazon Web Services Snow Family provides a petabyte-scale data transport solution that uses secure devices to transfer large amounts of data between your on-premises data centers and Amazon Simple Storage Service (Amazon S3). The Snow Family commands described here provide access to the same functionality that is available in the Amazon Web Services Snow Family Management Console,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Notification Service,amazonaws.com,sns,2010-03-31,<fullname>Amazon Simple Notification Service</fullname> <p>Amazon Simple Notification Service (Amazon SNS) is a web service that enables you to build distributed web-enabled applications. Applications can use Amazon SNS to easily push real-time notification messages to interested subscribers over multiple delivery protocols. For more information about this product see the <a href="http://aws.amazon.com/sns/">Amazon SNS product page</a>. For detailed information about Amazon SNS features and their associated API calls,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Queue Service,amazonaws.com,sqs,2012-11-05,<p>Welcome to the <i>Amazon SQS API Reference</i>.</p> <p>Amazon SQS is a reliable,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Systems Manager (SSM),amazonaws.com,ssm,2014-11-06,<p>Amazon Web Services Systems Manager is the operations hub for your Amazon Web Services applications and resources and a secure end-to-end management solution for hybrid cloud environments that enables safe and secure operations at scale.</p> <p>This reference is intended to be used with the <a href="https://docs.aws.amazon.com/systems-manager/latest/userguide/">Amazon Web Services Systems Manager User Guide</a>. To get started,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Systems Manager Incident Manager Contacts,amazonaws.com,ssm-contacts,2021-05-03,<p>Systems Manager Incident Manager is an incident management console designed to help users mitigate and recover from incidents affecting their Amazon Web Services-hosted applications. An incident is any unplanned interruption or reduction in quality of services.</p> <p>Incident Manager increases incident resolution by notifying responders of impact,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Systems Manager Incident Manager,amazonaws.com,ssm-incidents,2018-05-10,<p>Systems Manager Incident Manager is an incident management console designed to help users mitigate and recover from incidents affecting their Amazon Web Services-hosted applications. An incident is any unplanned interruption or reduction in quality of services. </p> <p>Incident Manager increases incident resolution by notifying responders of impact,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Single Sign-On,amazonaws.com,sso,2019-06-10,<p>AWS IAM Identity Center (successor to AWS Single Sign-On) Portal is a web service that makes it easy for you to assign user access to IAM Identity Center resources such as the AWS access portal. Users can get AWS account applications and roles assigned to them and get federated into the application.</p> <note> <p>Although AWS Single Sign-On was renamed,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Single Sign-On Admin,amazonaws.com,sso-admin,2020-07-20,<p>AWS IAM Identity Center (successor to AWS Single Sign-On) helps you securely create,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS SSO OIDC,amazonaws.com,sso-oidc,2019-06-10,<p>AWS IAM Identity Center (successor to AWS Single Sign-On) OpenID Connect (OIDC) is a web service that enables a client (such as AWS CLI or a native application) to register with IAM Identity Center. The service also enables the client to fetch the user’s access token upon successful authentication and authorization with IAM Identity Center.</p> <note> <p>Although AWS Single Sign-On was renamed,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Step Functions,amazonaws.com,states,2016-11-23,<fullname>Step Functions</fullname> <p>Step Functions is a service that lets you coordinate the components of distributed applications and microservices using visual workflows.</p> <p>You can use Step Functions to build applications from individual components,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Storage Gateway,amazonaws.com,storagegateway,2013-06-30,<fullname>Storage Gateway Service</fullname> <p>Storage Gateway is the service that connects an on-premises software appliance with cloud-based storage to provide seamless and secure integration between an organization's on-premises IT environment and the Amazon Web Services storage infrastructure. The service enables you to securely upload data to the Amazon Web Services Cloud for cost effective backup and rapid disaster recovery.</p> <p>Use the following links to get started using the <i>Storage Gateway Service API Reference</i>:</p> <ul> <li> <p> <a href="https://docs.aws.amazon.com/storagegateway/latest/userguide/AWSStorageGatewayAPI.html#AWSStorageGatewayHTTPRequestsHeaders">Storage Gateway required request headers</a>: Describes the required headers that you must send with every POST request to Storage Gateway.</p> </li> <li> <p> <a href="https://docs.aws.amazon.com/storagegateway/latest/userguide/AWSStorageGatewayAPI.html#AWSStorageGatewaySigningRequests">Signing requests</a>: Storage Gateway requires that you authenticate every request you send; this topic describes how sign such a request.</p> </li> <li> <p> <a href="https://docs.aws.amazon.com/storagegateway/latest/userguide/AWSStorageGatewayAPI.html#APIErrorResponses">Error responses</a>: Provides reference information about Storage Gateway errors.</p> </li> <li> <p> <a href="https://docs.aws.amazon.com/storagegateway/latest/APIReference/API_Operations.html">Operations in Storage Gateway</a>: Contains detailed descriptions of all Storage Gateway operations,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon DynamoDB Streams,amazonaws.com,streams.dynamodb,2012-08-10,<fullname>Amazon DynamoDB</fullname> <p>Amazon DynamoDB Streams provides API actions for accessing streams and processing stream records. To learn more about application development with Streams,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Security Token Service,amazonaws.com,sts,2011-06-15,<fullname>Security Token Service</fullname> <p>Security Token Service (STS) enables you to request temporary,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Support,amazonaws.com,support,2013-04-15,<fullname>Amazon Web Services Support</fullname> <p>The <i>Amazon Web Services Support API Reference</i> is intended for programmers who need detailed information about the Amazon Web Services Support operations and data types. You can use the API to manage your support cases programmatically. The Amazon Web Services Support API uses HTTP methods that return results in JSON format.</p> <note> <ul> <li> <p>You must have a Business,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Simple Workflow Service,amazonaws.com,swf,2012-01-25,<fullname>Amazon Simple Workflow Service</fullname> <p>The Amazon Simple Workflow Service (Amazon SWF) makes it easy to build applications that use Amazon's cloud to coordinate work across distributed components. In Amazon SWF,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Synthetics,amazonaws.com,synthetics,2017-10-11,<fullname>Amazon CloudWatch Synthetics</fullname> <p>You can use Amazon CloudWatch Synthetics to continually monitor your services. You can create and manage <i>canaries</i>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Textract,amazonaws.com,textract,2018-06-27,Amazon Textract detects and analyzes text in documents and converts it into machine-readable text. This is the API reference documentation for Amazon Textract.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Timestream Query,amazonaws.com,timestream-query,2018-11-01,<fullname>Amazon Timestream Query </fullname> <p/>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Timestream Write,amazonaws.com,timestream-write,2018-11-01,<fullname>Amazon Timestream Write</fullname> <p>Amazon Timestream is a fast,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Transcribe Service,amazonaws.com,transcribe,2017-10-26,<p>Amazon Transcribe offers three main types of batch transcription: <b>Standard</b>,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Transfer Family,amazonaws.com,transfer,2018-11-05,Transfer Family is a fully managed service that enables the transfer of files over the File Transfer Protocol (FTP),https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon Translate,amazonaws.com,translate,2017-07-01,Provides translation of the input content from the source language to the target language.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS WAF,amazonaws.com,waf,2015-08-24,<note> <p>This is <b>AWS WAF Classic</b> documentation. For more information,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS WAF Regional,amazonaws.com,waf-regional,2016-11-28,<note> <p>This is <b>AWS WAF Classic Regional</b> documentation. For more information,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS WAFV2,amazonaws.com,wafv2,2019-07-29,<fullname>WAF</fullname> <note> <p>This is the latest version of the <b>WAF</b> API,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS Well-Architected Tool,amazonaws.com,wellarchitected,2020-03-31,<fullname>Well-Architected Tool</fullname> <p>This is the <i>Well-Architected Tool API Reference</i>. The WA Tool API provides programmatic access to the <a href="http://aws.amazon.com/well-architected-tool">Well-Architected Tool</a> in the <a href="https://console.aws.amazon.com/wellarchitected">Amazon Web Services Management Console</a>. For information about the Well-Architected Tool,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon WorkDocs,amazonaws.com,workdocs,2016-05-01,<p>The Amazon WorkDocs API is designed for the following use cases:</p> <ul> <li> <p>File Migration: File migration applications are supported for users who want to migrate their files from an on-premises or off-premises file system or service. Users can insert files into a user directory structure,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon WorkLink,amazonaws.com,worklink,2018-09-25,Amazon WorkLink is a cloud-based service that provides secure access to internal websites and web apps from iOS and Android phones. In a single step,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon WorkMail,amazonaws.com,workmail,2017-10-01,<p>WorkMail is a secure,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon WorkMail Message Flow,amazonaws.com,workmailmessageflow,2019-05-01,The WorkMail Message Flow API provides access to email messages as they are being sent and received by a WorkMail organization.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Amazon WorkSpaces,amazonaws.com,workspaces,2015-04-08,<fullname>Amazon WorkSpaces Service</fullname> <p>Amazon WorkSpaces enables you to provision virtual,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
AWS X-Ray,amazonaws.com,xray,2016-04-12,Amazon Web Services X-Ray provides APIs for managing debug traces and retrieving service maps and other data created by processing those traces.,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
Atmosphere API,amentum.space,atmosphere,1.1.1,Instantly access empirical models of atmospheric density and  composition that are recommended by the Committee on Space Research (COSPAR) for  satellite drag calculations. <br><br>,https://api.apis.guru/v2/cache/logo/https_twitter.com_amentumspace_profile_image.jpeg
Aviation Radiation API,amentum.space,aviation_radiation,1.5.0,Our atmosphere protects us from a hostile space radiation environment comprising high energy particles of solar and intergalactic origin. Solar radiation is significant during unpredictable and short lived solar flares and coronal mass ejections (CMEs); however,https://api.apis.guru/v2/cache/logo/https_twitter.com_amentumspace_profile_image
Geomag API,amentum.space,global-magnet,1.3.0,,https://api.apis.guru/v2/cache/logo/https_twitter.com_amentumspace_profile_image.jpeg
Gravity API,amentum.space,gravity,1.1.1,The gravitational field of the earth is non-uniform.  The <a href='https://en.wikipedia.org/wiki/Geoid'>geoid</a> is the shape the,https://api.apis.guru/v2/cache/logo/https_twitter.com_amentumspace_profile_image
Space Radiation API,amentum.space,space_radiation,1.1.2,Space has a hostile radiation environment that increases the risk of cancers in humans and malfunctions in spacecraft electronics. The types of space  radiation of primary concern are:,https://api.apis.guru/v2/cache/logo/https_twitter.com_amentumspace_profile_image
Anchore Engine API Server,anchore.io,,0.1.20,This is the Anchore Engine API. Provides the primary external API for users of the service.,https://api.apis.guru/v2/cache/logo/https_twitter.com_anchore_profile_image.jpeg
Airflow API (Stable),apache.org,,2.5.1,# Overview,https://api.apis.guru/v2/cache/logo/https_twitter.com_TheASF_profile_image
Airflow API (Stable),apache.org,airflow,2.5.1,# Overview,https://api.apis.guru/v2/cache/logo/https_twitter.com_TheASF_profile_image
Qakka,apache.org,qakka,v1,API for Qakka Queue System,https://api.apis.guru/v2/cache/logo/https_twitter.com_TheASF_profile_image.png
Apacta,apacta.com,,0.0.42,API for a tool to craftsmen used to register working hours,https://api.apis.guru/v2/cache/logo/https_twitter.com_apactadk_profile_image.png
Account API,api.ebay.com,sell-account,v1.9.0,The <b>Account API</b> gives sellers the ability to configure their eBay seller accounts,https://api.apis.guru/v2/cache/logo/https_twitter.com_ebay_profile_image
 Seller Service Metrics API ,api.ebay.com,sell-analytics,1.2.0,The <i>Analytics API</i> provides data and information about a seller and their eBay business.  <br><br>The resources and methods in this API let sellers review information on their listing performance,https://api.apis.guru/v2/cache/logo/https_twitter.com_ebay_profile_image
Compliance API,api.ebay.com,sell-compliance,1.4.1,Service for providing information to sellers about their listings being non-compliant,https://api.apis.guru/v2/cache/logo/https_twitter.com_ebay_profile_image
Vehicle Enquiry API,api.gov.uk,vehicle-enquiry,1.1.0,Interface specification for the DVLA Vehicle Enquiry API,https://api.apis.guru/v2/cache/logo/https_twitter.com_GDSTeam_profile_image.png
api.video,api.video,,1,api.video is an API that encodes on the go to facilitate immediate playback,https://api.apis.guru/v2/cache/logo/https_www.datocms-assets.com_26885_1588249863-favicon.png
Swagger API2Cart,api2cart.com,,1.1,API2Cart,https://api.apis.guru/v2/cache/logo/https_twitter.com_API2Cart_profile_image.jpeg
Api2Pdf - PDF Generation,api2pdf.com,,1.0.0,,https://api.apis.guru/v2/cache/logo/https_twitter.com_api2pdf_status_profile_image.jpeg
Apicurio Registry API,apicurio.local,registry,1.3.2.Final,Apicurio Registry is a datastore for standard event schemas and API designs. Apicurio Registry enables developers to manage and share the structure of their data using a REST interface. For example,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Apicurio Registry API [v2],apicurio.local,registry,2.4.x,Apicurio Registry is a datastore for standard event schemas and API designs. Apicurio Registry enables developers to manage and share the structure of their data using a REST interface. For example,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
ApiDapp,apidapp.com,,2019-02-14T164701Z,,https://api.apis.guru/v2/cache/logo/https_i2.wp.com_apidapp.com_wp-content_uploads_2019_03_cropped-ApiDappIcon.png
Accounting API,apideck.com,accounting,9.3.0,Welcome to the Accounting API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
ATS API,apideck.com,ats,9.3.0,Welcome to the ATS API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Connector API,apideck.com,connector,9.3.0,Welcome to the Connector API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
CRM API,apideck.com,crm,9.3.0,Welcome to the CRM API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Customer Support,apideck.com,customer-support,9.3.0,Welcome to the Customer Support API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Ecommerce API,apideck.com,ecommerce,9.3.0,Welcome to the Ecommerce API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Ecosystem API,apideck.com,ecosystem,0.0.6,Ecosystem API,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
File storage API,apideck.com,file-storage,9.3.0,Welcome to the File Storage API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
HRIS API,apideck.com,hris,9.3.0,Welcome to the HRIS API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Issue Tracking API,apideck.com,issue-tracking,9.3.0,Welcome to the Issue Tracking API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Lead API,apideck.com,lead,9.3.0,Welcome to the Lead API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
POS API,apideck.com,pos,9.3.0,Welcome to the POS API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Proxy API,apideck.com,proxy,9.3.0,Welcome to the Proxy API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
SMS API,apideck.com,sms,9.3.0,Welcome to the SMS API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Vault API,apideck.com,vault,9.3.0,Welcome to the Vault API 👋,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Webhook API,apideck.com,webhook,9.3.0,Welcome to the Webhook API.,https://api.apis.guru/v2/cache/logo/https_developers.apideck.com_icon.png
Registry API,apigee.local,registry,0.0.1,The Registry service allows teams to manage descriptions of APIs.,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Marketcheck APIs,apigee.net,marketcheck-cars,2.01,One API serving data spanned across multiple verticals,https://api.apis.guru/v2/cache/logo/https_twitter.com_MarketcheckAPIs_profile_image.jpeg
APIMATIC API Transformer,apimatic.io,,1.0,Transform API Descriptions from/to various formats,https://api.apis.guru/v2/cache/logo/https_apimatic.io_img_theme_Convertron.svg
APIs.guru,apis.guru,,2.2.0,Wikipedia for Web APIs. Repository of API definitions in OpenAPI format.,https://api.apis.guru/v2/cache/logo/https_apis.guru_branding_logo_vertical.svg
Department of Food,apisetu.gov.in,aaharjh,3.0.0,Public distribution system (PDS) is an Indian food security system. Established by the Government of India under Ministry of Consumer Affairs,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Acko General Insurance Limited,apisetu.gov.in,acko,3.0.0,Insurance policies issued by Acko General Insurance (https://www.acko.com) can be fetched by the citizens in their Digilocker accounts.,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Accountants General,apisetu.gov.in,agtripura,3.0.0,APIs provided by Accountants General,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Food,apisetu.gov.in,aharakar,3.0.0,Ration Cards issued by Food,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
AIIMS Mangalagiri,apisetu.gov.in,aiimsmangalagiri,3.0.0,AIIMS Mangalagiri is one of the AIIMS healthcare institutes being established by the Ministry of Health & Family Welfare,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
AIIMS,apisetu.gov.in,aiimspatna,3.0.0,All India Institute of Medical Sciences Patna,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
AIIMS Rishikesh,apisetu.gov.in,aiimsrishikesh,3.0.0,Degree certificates issued by AIIMS Rishikesh in year 2018 can be pulled by students into their DigiLocker accounts,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Dr. A. P. J. Abdul Kalam Technical University,apisetu.gov.in,aktu,3.0.0,Marksheets and Degree Certificates of academic year 2017-18 issued by AKTU can be pulled by students into their DigiLocker accounts,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Department of Agricultural Marketing,apisetu.gov.in,apmcservices,3.0.0,APIs provided by Department of Agricultural Marketing,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Agricultural Scientists Recruitment Board,apisetu.gov.in,asrb,3.0.0,Agricultural Scientist Recruitment Board (ASRB) is now integrated with DigiLocker to publish Digital Marksheet and results for the National Eligibility Test (NET-I) & (NET-II) for the years of 2019. Concerned participants and students can get this certificates on their DigiLocker account.,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Bajaj Allianz General Insurance Company Ltd. (BAGIC),apisetu.gov.in,bajajallianz,3.0.0,Insurance policies such as health,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Bajaj Allianz Life Insurance Company Ltd,apisetu.gov.in,bajajallianzlife,3.0.0,Policy Documents issued by Bajaj Allianz Life Insurance Co.Ltd (https://www.bajajallianzlife.com) can be pulled in user's DigiLocker account,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Dr. Babasaheb Ambedkar Research & Training Institute,apisetu.gov.in,barti,3.0.0,APIs provided by Dr. Babasaheb Ambedkar Research & Training Institute,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
Ministry of Petroleum and Natural Gas(BPCL),apisetu.gov.in,bharatpetroleum,3.0.0,eSubscription Voucher for LPG connections provided by BPCL (https://bharatpetroleum.com/) are made available to citizens in their DigiLocker accounts.,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
